Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,12165.33,11554.95,11932.07,13247.28,13168.88,12646.32,13133.35,15734.74,16204.45,17832.46
Expenses,9750.43,9270.69,9561.63,11174.05,10418.05,10288.57,10340.41,12906.05,12474.7,14757.24
Other Income,356.33,443.93,335.32,399.33,347.53,392.23,508.98,575.8,359.31,1894.13
Depreciation,92.91,92.81,95.01,98.27,101.72,119.23,117.51,118.99,119.26,288.93
Interest,12.1,29.63,46.97,75.2,120.21,146.52,223.76,286.84,313.63,344.36
Profit before tax,2666.22,2605.75,2563.78,2299.09,2876.43,2484.23,2960.65,2998.66,3656.17,4336.06
Tax,633.6,594.32,621.99,913.65,680.78,682.38,750.21,876.63,906.35,843.85
Net profit,2032.62,2011.43,1941.79,1385.44,2195.65,1801.85,2210.44,2122.03,2749.82,3661.92
Operating Profit,2414.9,2284.26,2370.44,2073.23,2750.83,2357.75,2792.94,2828.69,3729.75,3075.22
