Metric                              , Ola                        , Ather              , TVS_EV               , Bajaj_EV             , Hero_Vida
Company Type                        , Pure-play EV               , Pure-play EV       , Diversified (EV ~10%), Diversified (EV ~7%) , Diversified (EV ~3%)
FY26 EV Revenue (Cr)                , 3672                       , 3672               , 4700                 , 4000                 , 1500
FY26 EV Units                       , 164000                     , 262942             , 371000               , 289000               , 150000
FY26 Revenue/Unit (Rs)              , 223902                     , 139582             , 126686               , 138408               , 100000
FY26 EV EBITDA Direction            , Deep Negative              , -6.7%              , Not Disclosed        , Double-Digit Positive, Deeply Negative
FY26 Market Share (%)               , 15.9                       , 16.0               , 23.0                 , 21.0                 , 11.0
YoY Unit Growth (%)                 , -52                        , 75                 , 33                   , 25                   , 206
Parent Cash on Hand (Cr)            , 3516                       , 823                , ~2500                , ~15000               , ~8000
Parent Can Subsidize EV for (years)?, 1-2                        , 2-3                , 10+                  , 15+                  , 10+
EV Profitability Timeline           , Unknown                    , FY28 (target)      , Not disclosed        , Already profitable   , FY28+ (target 25-30K/month)
Key Competitive Advantage           , Brand awareness            , Premium brand + R&D, Distribution network , Cost efficiency + E3W, Largest dealer network in India
Key Weakness                        , Quality perception + losses, Scale + losses     , EV margins unknown   , Chetak-only in E2W   , Late entrant + losses
