Metric,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25
Sales,873,1296,1598,1644,1214,1045,611,828,690,470
Expenses,1308,1597,1910,1849,1593,1505,1306,1065,893,741
Other Income,49,71,73,51,100,127,117,68,66,34
Depreciation,92,103,116,126,132,138,170,165,172,170
Interest,46,43,61,67,84,93,122,94,109,80
Profit before tax,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487
Tax,,,,,,,,,,
Net profit,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487
Operating Profit,-435,-301,-312,-205,-379,-460,-695,-237,-203,-271
